
campaigncutscene_tooltip 				(Κάνε κλικ για να ξεκινήσει το επόμενο κεφάλαιο της ιστορίας)
objective_riot_prisonerwork_description         Για να αναθέσεις εργασία στους κρατουμένους, πήγαινε στην Εφοδιαστική και διάλεξε την «Εργασία κρατουμένων». Κάνε κλικ για να προσθέσεις δουλειές σε οποιοδήποτε δωμάτιο έχει πράσινη επισήμανση.\n\nΠρέπει να καθορίσεις επίσης πότε θα δουλεύουν οι κρατούμενοί σου. Πήγαινε στις Αναφορές > Καθεστώς και πρόσθεσε αρκετές ώρες «Εργασίας» την ημέρα. Αν υπάρχουν διαθέσιμες δουλειές αυτές τις ώρες, οι κρατούμενοι θα τις αναλάβουν.

objective_Riot_PlayerExitsMap			Όταν τελειώσεις, κάνε κλικ στην φωτογραφία Πολαρόιντ έξω από την κεντρική είσοδο.


# =============================================================================
# Conviction
# =============================================================================

campaigncutscene_convictionheist        Ληστεία
campaigncutscene_convictionmorgan       Μόργκαν
campaigncutscene_convictionvisitation   Επισκεπτήριο
campaigncutscene_convictionsuicide      Αυτοκτονία

campaignchapter_conviction              Καταδίκη
campaignchapter_conviction_description  Ένας από τους κρατουμένους μας βρίσκεται υπό καθεστώς παρακολούθησης λόγω τάσεων αυτοκτονίας. Πρόκειται για τον Χένρι Μόργκαν, συνεταίρο στο έγκλημα του Μπένεντικτ. Έχει εκτίσει δεκατρείς μήνες από ποινή κάθειρξης πέντε ετών. Βοήθησέ μας να φροντίσουμε αυτούς τους άντρες.

adviser_name_benedictarmed              Μπένεντικτ
adviser_name_morgan                     Χένρι Μόργκαν
adviser_name_morganarmed				Χένρι Μόργκαν
adviser_name_morganhappy                Χένρι Μόργκαν
adviser_name_senator                    Γερουσιαστής Ουόλτερ Χερστ
adviser_name_detective                  Αστυνομικός
adviser_name_kerry 						Κέρι Μόργκαν  
adviser_name_hurst 						Δρ. Ουόλτερ Χερστ  
adviser_name_keane 						Φύλακας Κιν  

adviser_conviction_heist1               Πιάσε το χρήμα, τούβλο.
adviser_conviction_heist2               Πετάξτε τα όπλα σας, τώρα!
adviser_conviction_heist2b				Όχι ρε γαμώτο!
adviser_conviction_heist3               Πυροβόλα, που να πάρει!
adviser_conviction_heist4               Τι περιμένεις γαμώτο, ρίξ' τους!
adviser_conviction_heist6               Καργιόληδες!
adviser_conviction_heist7               Μη ρίχνετε! Μη ρίχνετε!
adviser_conviction_heist8               ΨΗΛΑ ΤΑ ΧΕΡΙΑ, ΠΟΥ ΝΑ ΣΑΣ ΠΑΡΕΙ Ο ΔΙΑΟΛΟΣ!
adviser_conviction_heist9               Κάνε ακριβώς ό,τι κάνω 'γω, το 'πιασες;
adviser_conviction_heist10              Όχι ρε γαμώτο, ΟΧΙ!
adviser_conviction_heist11              Μη ρίχνετε! ΜΗ ΡΙΧΝΕΤΕ!

conviction_intro_1                      Ύστερα από την πρόσφατη τραγωδία στις Κρατικές φυλακές Αλκέμικο, βρισκόμαστε κάτω από συνεχή πολιτική επιτήρηση.
conviction_intro_2                      Μέχρι να βρεθεί ένας μόνιμος αντικαταστάτης για τη θέση του Διευθύνοντα Σύμβουλου, θα ήθελα να αναλάβεις εσύ τα ηνία.
conviction_intro_3                      Είχαμε μια σειρά από αυτοκτονίες σε αυτό το ίδρυμα πρόσφατα και το γιατί είναι προφανές. Όμως, έχουμε ένα πιο επείγον πρόβλημα.
conviction_intro_4                      Οι αρμόδιοι αποφάσισαν να μας στείλουν μια τεράστια φουρνιά από καινούργιους κρατουμένους. Οι πρώτοι θα φτάσουν αύριο και δεν έχουμε πουθενά να τους στεγάσουμε.
conviction_intro_5                      Πρέπει να χτίσεις μια ολοκαίνουργια πτέρυγα κράτησης που θα έχει αρκετό χώρο για τη νέα εισδοχή.  
conviction_intro_5b 					Τοποθέτησα εδώ ένα πιθανό σχέδιο για τη νέα πτέρυγα κράτησης. Με αυτό το σχέδιο θα έχουμε αρκετά νέα κελιά για να χωρέσουν όλοι οι καινούργιοι κρατούμενοι, ενώ περιλαμβάνονται και εγκαταστάσεις ντους.  
conviction_intro_5c 					Από σένα εξαρτάται, όμως, αν διαλέξεις να ακολουθήσεις αυτό το σχέδιο ή να κάνεις κάτι τελείως διαφορετικό.
conviction_intro_6                      Δουλειά μου είναι να εξασφαλίζω την ευεξία αυτών των αντρών. Αυτό θα συζητήσουμε πώς να το καταφέρουμε αφού χτίσεις πρώτα τη νέα πτέρυγα.

unused_conviction_intro_4                      Ένας από τους κρατουμένους μας βρίσκεται υπό καθεστώς παρακολούθησης λόγω τάσεων αυτοκτονίας. Πρόκειται για τον Χένρι Μόργκαν, συνεταίρο στο έγκλημα του Μπένεντικτ. Έχει εκτίσει δεκατρείς μήνες από ποινή κάθειρξης πέντε ετών.
unused_conviction_intro_7						Θέλω να πάω να του μιλήσω. Δεν πρέπει να επιτρέψουμε άλλες αυτοκτονίες.

conviction_workintro1                   Φερθήκαμε σ' αυτούς τους άντρες σαν να 'ταν σκουπίδια εδώ και πάρα πολύ καιρό. Φτάνει πια.
conviction_workintro2                   Ο προηγούμενος Διευθύνων Σύμβουλος δεν πίστευε ποτέ του ιδιαίτερα στην αναμόρφωση των φυλακισμένων. Όπως το βλέπω εγώ, όμως, πρέπει να δώσουμε σ' αυτούς τους άντρες μια αίσθηση ελπίδας για το μέλλον.
conviction_workintro3                   Πρέπει να τους δώσουμε τις ικανότητες που χρειάζονται για να πετύχουν, αφού αποφυλακιστούν. Πολύτιμες επαγγελματικές δεξιότητες, μια βασική μόρφωση.
conviction_workintro4                   Θα πρέπει να ξεκινήσουμε ένα πρόγραμμα επαγγελματικής μαθητείας. Να διδάξουμε σ' αυτούς τους άντρες μερικές γνώσεις που θα χρειαστούν στον έξω κόσμο, να έχουν τουλάχιστον κάποιο στόχο για το μέλλον.

Αυτοί οι άντρες είναι τελείως απομονωμένοι. Πρέπει να αποκτήσουν κάποια αίσθηση αξίας.
conviction_hurst1 						Ο βαθμός έλλειψης κοινωνικής συμμετοχής των κρατουμένων σε αυτό το ίδρυμα είναι σοκαριστικός. Αυτοί οι άντρες έχουν στερηθεί κάθε ίχνος ανθρωπιάς.
conviction_hurst2 						Δεν λαμβάνουν ίχνος συμπόνιας ή σεβασμού. Δεν μπορείς να περιμένεις ότι κατ' αυτό τον τρόπο θα ανταποκρίνονται στο οτιδήποτε, παρά μόνο με περιφρόνηση.  
conviction_hurst3 						Δεν τους αξίζει κάτι τέτοιο αυτών των αντρών.
conviction_hurst4 						Συμφωνώ. Δεν είναι τρόπος αυτός να φερόμαστε σε ανθρώπινα όντα. Δεν λαμβάνουν την παραμικρή ανθρώπινη μεταχείριση.  
conviction_hurst4b 						Άλλωστε, γιατί να συμμορφωθούν με τους κανόνες μας; Δεν μπορούμε να περιμένουμε ότι θα ανταποκριθούν διαφορετικά, παρά μόνο με περιφρόνηση.  
conviction_hurst4c						Πρέπει να τους βοηθήσουμε αυτούς τους ανθρώπους. Χρειαζόμαστε αίθουσες διδασκαλίας, προγράμματα επανένταξης για χρήστες ναρκωτικών και ένα εργαστήρι, για να μπορέσουν να νιώσουν λίγη περηφάνεια για τις ικανότητές τους.
conviction_hurst6 						Με παρεξηγήσατε, γιατρέ. Αυτοί οι άντρες δεν είναι άνθρωποι. Δείτε και μόνος σας.
conviction_hurst6b 						Κρατούμενε Μόργκαν! Ξύπνα!
conviction_hurst7 						Σήκω πάνω Μόργκαν, έχεις επισκέπτη.
conviction_hurst8 						Επανένταξη, ε; Πιο εύκολο θα είναι να μάθεις σε μαϊμούδες να παίξουν βιολί.

conviction_hurst10 						Πώς σε λένε, παιδί μου;
conviction_hurst10b                     Σου έκανε μια ερώτηση ο κύριος.
conviction_hurst11 						Χένρι, κύριε.
conviction_hurst12 						Πρέπει να κάνει κρύο εδώ κάτω, Χένρι.
conviction_hurst13 						Έχει ψείρες το κρεβάτι μου, κύριε. Μου ροφούν το αίμα. Τουλάχιστον το πουκάμισο κρατάει μακριά μου τους αρουραίους. Δεν έχω δει πιο μεγάλους αρουραίους απ' αυτούς που έχουμε εδώ.
conviction_hurst14 						Λέγε με Ουόλτερ.
conviction_hurst15 						Πώς κοιμάσαι;
conviction_hurst16 						Δεν κοιμάμαι. Το μόνο που κάνω εδώ μέσα είναι να σκέφτομαι. Έχω πολλή ώρα για να σκέφτομαι.
conviction_hurst16b                     Και τι σκέφτεσαι;
conviction_hurst16c                     Κυρίως ότι θέλω να πεθάνω. Και την κορούλα μου.
conviction_hurst17 						Πρέπει να μείνεις δυνατός για χάρη της, Χένρι. Πρέπει να είναι δύσκολη και για κείνη αυτή η κατάσταση.
conviction_hurst18 						Είμαι πίσω από τα κάγκελα από τη μέρα που γεννήθηκε. Δεν ξέρει καν ότι υπάρχω.
conviction_hurst19 						Δεν είναι ποτέ αργά να αλλάξουμε πορεία στη ζωή, Χένρι.  
conviction_hurst19b 					Θα ήθελα να 'ρθω να σε δω ξανά, αν δεν σε πειράζει.
conviction_hurst20 						Μάλιστα, κύριε. Σας ευχαριστώ, κύριε.
conviction_hurst21 						Μπορούμε να κάνουμε κάτι για τους αρουραίους; Δεν είμαστε στον τρίτο κόσμο.
conviction_hurst22 						Θα πω να φέρουν λίγη φόλα.

conviction_visitationintro_1            Κατάφερα να πείσω τον αρχιφύλακα να κάνει μια εξαίρεση για το οικογενειακό επισκεπτήριο του Μόργκαν.

conviction_visitation_0					Γεια σας. Λέγομαι Κέρι Μόργκαν, ήρθα να δω τον Χένρι Μόργκαν.
conviction_visitation_1					Σταθείτε πίσω απ' τη γραμμή.
conviction_visitation_2 				Με συγχωρείτε. Ήρθα να επισκεφτώ τον Χένρι... Τον Χένρι Μόργκαν. Είμαι η σύζυγός του.
conviction_visitation_3 				Δεν θα σας το ξαναπώ, σταθείτε πίσω απ' τη γραμμή. Τώρα αμέσως.
conviction_visitation_4 				Μάλιστα, με συγχωρείτε.
conviction_visitation_5 				Εντάξει, ελάτε, μην καθυστερούμε.
conviction_visitation_6					Όνομα.
conviction_visitation_7					Κέρι Μόργκαν. Ήρθα να δω τον Χένρι Μόργκαν. Και αυτή είναι η κορούλα του.
conviction_visitation_8					Αυτό του λέτε, ότι είναι δική του, ε; Μάλιστα, μάλιστα, περάστε...
conviction_visitation_8a                Κέρι!
conviction_visitation_9					Φοβάμαι ότι έγινε κάποιο λάθος. Ο Μόργκαν έχασε το δικαίωμα επισκεπτηρίου του.
conviction_visitation_9b 				Πώς;  
conviction_visitation_9c 				Λυπάμαι, βρήκαμε αλκοόλ στο κελί του σήμερα το πρωί. Δεν μπορώ να κάνω κάτι.
conviction_visitation_10				Μου πήρε δύο ώρες να φτάσω εδώ πέρα. Η κόρη μου κλαίει. Δεν είναι δίκαιο.
conviction_visitation_11				Το δίκαιο είναι στα παραμύθια και στα λούνα παρκ. Αν θέλετε δίκαιο, πηγαίνετε στη Ντίσνεϊλαντ. Εδώ δεν έχει δίκαιο.
conviction_visitation_12				Σας παρακαλώ, δώστε του αυτό.
conviction_visitation_13                Καλώς. Δεν θα μπορεί να δεχτεί επισκέπτες για αρκετό καιρό. Να του αφήσω κάποιο μήνυμα;
conviction_visitation_14                Όχι. Μήνυμα, όχι.

conviction_visitation_angrymorgan0		Όχι!
conviction_visitation_angrymorgan1		Περιμένετε!
conviction_visitation_angrymorgan2		Δεν μπορείτε να το κάνετε αυτό!
conviction_visitation_angrymorgan3		Αφήστε με να της μιλήσω!
conviction_visitation_angrymorgan4		Γαμώ το σπίτι σας, μπάσταρδοι!

conviction_helpinmates_1                Έχω απογοητευτεί πολύ.
conviction_helpinmates_2                Είναι τόσο δύσκολο να βρει κανείς τρόπους, για να βοηθήσει στ' αλήθεια αυτούς τους άντρες. Πρέπει πραγματικά να μάθουν πώς να βοηθούν οι ίδιοι τους εαυτούς τους.
conviction_helpinmates_3                Νομίζω πως επιβάλλεται να φροντίσουμε τις εγκαταστάσεις επισκεπτηρίων. Οι οικογένειες έχουν σχηματίσει ουρές έξω απ' τις πύλες και προφανώς δεν μπορούμε να διαχειριστούμε το τωρινό πλήθος επισκεπτών.
conviction_helpinmates_4                Χτίσε καινούργιες εγκαταστάσεις επισκεπτηρίου. Παρά τα όσα συνέβησαν στον Μόργκαν, θεωρώ ότι θα έχουμε θετικά αποτελέσματα. Άλλωστε, δεν είναι ο μοναδικός κρατούμενος εδώ μέσα που έχει οικογένεια.
conviction_helpinmates_5                Έκανα λίγη έρευνα και ανακάλυψα έκπληκτος ότι πολλοί από αυτούς τους κρατουμένους έχουν ελάχιστες γνώσεις μαθηματικών και ανάγνωσης. Πρέπει ν' αρχίσουμε να αντιμετωπίζουμε αυτή την κατάσταση.
conviction_helpinmates_6                Άνοιξε νέες αίθουσες διδασκαλίας και ας αρχίσουμε να φέρνουμε εξωτερικούς δασκάλους, για να τους μάθουν τα βασικά. Χωρίς μόρφωση, αυτοί οι κρατούμενοι δεν έχουν άλλη επιλογή στη ζωή τους από το έγκλημα.
conviction_helpinmates_7                Επίσης, πρέπει να διαχειριστούμε σωστά τη μαζική άφιξη κρατουμένων. Συνέχισε να αυξάνεις τη χωρητικότητά μας, ώστε να αντιστοιχεί σε κάθε κρατούμενο ένα κελί ικανοποιητικής ποιότητας.

conviction_outro1                       Νομίζω ότι οι πράξεις μας έκαναν μεγάλη διαφορά εδώ. Δώσαμε σε αυτούς τους κρατουμένους έναν σκοπό και έναν λόγο να μην το βάζουν κάτω.
conviction_outro2                       Αν θέλεις, μπορείς να μείνεις εδώ και να μας βοηθήσεις να καθοδηγήσουμε την πρώτη μερίδα κρατουμένων που συμμετέχει στα προγράμματα εκπαίδευσης και εργασίας που διοργανώσαμε.
conviction_outro3                       Μα νομίζω ότι μπορούμε να αναλάβουμε εμείς από εδώ και πέρα. Όταν θελήσεις να φύγεις, κάνε κλικ στη φωτογραφία πολαρόιντ στο κελί του Μόργκαν.

conviction_secondvisit_1                Ήλπιζα να σε δω σε μια από τις συνεδρίες μου.
conviction_secondvisit_2                Δεν μπορώ. Δεν μπορώ να μείνω άλλο σ' αυτή την τρύπα.
conviction_secondvisit_3                Πάρε τα πράγματα σιγά σιγά, μέρα με τη μέρα.
conviction_secondvisit_4                Μιλάω για τα πάντα, για ολόκληρο τον σιχαμένο κόσμο. Εδώ μέσα... Εκεί έξω... Δεν μ' αφήνουν να δω την οικογένειά μου. Τα θαλάσσωσα, κύριε, και δεν πρόκειται ν' αλλάξει αυτό.
conviction_secondvisit_5                Χένρι, θα πάνε όλα καλά. Είμαι στο πλευρό σου.
conviction_secondvisit_6                Είναι ειρωνικό. Ακριβώς το ίδιο έλεγε και κείνος.
conviction_secondvisit_7                Ποιος, Χένρι; Μπορείς να μου μιλήσεις.
conviction_secondvisit_8                Εκείνος με πρόσεχε.
conviction_secondvisit_9                Από τότε που ήμασταν μικρά παιδιά.
conviction_secondvisit_10               Μην το βάλεις κάτω. Ό,τι κι αν συμβεί μικρέ.
conviction_secondvisit_11               Εγώ είμαι εδώ, είμαι στο πλευρό σου.
conviction_secondvisit_11b 				Στο πλευρό μου, ε;
conviction_secondvisit_12               Μα δεν είναι πια εδώ.
conviction_secondvisit_13               Ας κάνουμε μια συμφωνία. Έλα στην επόμενη συνάντησή μας και θα προσπαθήσω να χαλαρώσω τα δικαιώματα επισκέψεών σου.
conviction_secondvisit_14               Θα κάνατε κάτι τέτοιο για μένα, κύριε;
conviction_secondvisit_15               Ναι, αλλά όχι μόνο για σένα, Χένρι.

conviction_suicide_1 					Με συγχωρείτε, κύριε, σκέφτηκα ότι έπρεπε να σας ενημερώσω. Είχαμε κι άλλη αυτοκτονία.  
conviction_suicide_2					Φαίνεται ότι ένας από τους κρατουμένους κατάπιε δηλητήριο για ποντίκια.
conviction_suicide_3					Ο Δρ. Χερστ έρχεται να το επιβεβαιώσει.
conviction_suicide_4					Δεν είναι το πιο όμορφο μωρό του κόσμου;
conviction_suicide_5					Ναι, έτσι μου φαίνεται.
conviction_suicide_6					Δεν είναι ποτέ αργά να αλλάξουμε πορεία στη ζωή, κύριε.

objective_conviction_expandcapacity50			Διαχειρίσου τη νέα εισδοχή κρατουμένων
objective_conviction_expandcapacity50_description	Μπορείς να δεις ένα πιθανό σχέδιο για τη νέα πτέρυγα κράτησης, πηγαίνοντας στη λειτουργία «Σχεδιασμός» από την κεντρική γραμμή εργαλείων.
objective_conviction_expandcapacity_cells	 	Φτιάξε κελιά για 40 κρατουμένους
objective_conviction_expandcapacity_shower		Φτιάξε εγκαταστάσεις ντους  
objective_conviction_expandcapacity_yard		Φτιάξε ένα προαύλιο  
objective_conviction_expandcapacity_intake		Περίμενε να έρθει η επόμενη εισδοχή  

objective_conviction_workprogram 				Διοργάνωσε ένα πρόγραμμα επαγγελματικών δεξιοτήτων
objective_conviction_unlocklabour				Εξουσιοδότησε την «Εργασία κρατουμένων» μέσω της Γραφειοκρατίας  
objective_conviction_work_trainkitchen			(ΠΡΟΑΙΡΕΤΙΚΟ) Εκπαίδευσε 5 κρατουμένους στην Ασφάλεια και υγιεινή μαγειρείου
objective_conviction_work_kitchen				Ανάθεσε σε κρατούμενους εργασία στο μαγειρείο
objective_conviction_work_workshop				Φτιάξε ένα Εργαστήρι  
objective_conviction_work_trainworkshop			(ΠΡΟΑΙΡΕΤΙΚΟ) Βοήθησε 10 κρατουμένους να περάσουν μια Εισαγωγή στην ασφάλεια εργαστηρίου
objective_conviction_work_assignworkshop		Ανάθεσε σε κρατούμενους εργασία στο εργαστήρι  
objective_conviction_work_produceplates			(ΠΡΟΑΙΡΕΤΙΚΟ) Ολοκλήρωσε την παραγωγή 100 Πινακίδων κυκλοφορίας
objective_conviction_work_exportszone			Όρισε μια ζώνη εξαγωγών κοντά στον δρόμο
objective_conviction_work_setintake             Όρισε το επίπεδο Εισδοχής κρατουμένων στο 10

objective_conviction_unlocklabour_description	  Μπορείς να βρεις την οθόνη γραφειοκρατίας κάνοντας κλικ στο εικονίδιο πάνω από αυτή τη λίστα υποχρεώσεων.
objective_conviction_work_kitchen_description	 To assign prisoners to the kitchen, go to 'Logistics' then 'Prison Labour'.\n\nNb. Your prisoners must have passed the 'Kitchen Safety and Hygiene' training course before they can work in the kitchen.				Για να αναθέσεις σε κρατουμένους εργασία στο μαγειρείο, πήγαινε στην «Εφοδιαστική» και έπειτα στην «Εργασία κρατουμένων».\n\nΣημείωση: Οι κρατούμενοί σου πρέπει να έχουν περάσει την εκπαιδευτική σειρά μαθημάτων «Ασφάλεια και υγιεινή μαγειρείου», για να μπορούν να δουλέψουν στο μαγειρείο.
objective_conviction_work_assignworkshop_description 	Για να αναθέσεις σε κρατουμένους εργασία στο εργαστήρι, πήγαινε στην «Εφοδιαστική» και έπειτα στην «Εργασία κρατουμένων».\n\nΟι κρατούμενοί σου πρέπει να έχουν περάσει την «Εισαγωγή στην ασφάλεια εργαστηρίου», για να μπορούν να δουλέψουν στο εργαστήρι.
objective_conviction_work_trainkitchen_description 		Για να διεξάγεις προγράμματα εκπαίδευσης και αναμόρφωσης, πήγαινε στις «Αναφορές» (κάτω δεξιά) και ύστερα στα «Προγράμματα». Οι κρατούμενοι θα συμμετέχουν σε αυτά τα προγράμματα κατά τη διάρκεια των ωρών εργασίας τους.\n\nΣημείωση: Θα πρέπει να αναθέσεις τουλάχιστον δύο ώρες χρόνου «Εργασίας» στην οθόνη προγραμματισμού Καθεστώτος, διαφορετικά οι κρατούμενοι δεν θα έχουν χρόνο να συμμετέχουν στα εκπαιδευτικά προγράμματα.
objective_conviction_work_trainworkshop_description 	Για να διεξάγεις προγράμματα εκπαίδευσης και αναμόρφωσης, πήγαινε στις «Αναφορές» (κάτω δεξιά) και ύστερα στα «Προγράμματα». Οι κρατούμενοι θα συμμετέχουν σε αυτά τα προγράμματα κατά τη διάρκεια των ωρών εργασίας τους.\n\nΣημείωση: Θα πρέπει να αναθέσεις τουλάχιστον δύο ώρες χρόνου «Εργασίας» στην οθόνη προγραμματισμού Καθεστώτος, διαφορετικά οι κρατούμενοι δεν θα έχουν χρόνο να συμμετέχουν στα εκπαιδευτικά προγράμματα.
objective_conviction_work_setintake_description         Για να αποφύγεις τον συνωστισμό στη φυλακή σου, πήγαινε στις «Αναφορές» (κάτω δεξιά), ύστερα στην «Εισδοχή» και χρησιμοποίησε το κουμπί << για να χαμηλώσεις το επίπεδο εισδοχής στο 10.

objective_conviction_visitation				Διαμόρφωσε μια καλύτερη υπηρεσία επισκεπτηρίων  
objective_conviction_visitationroom	Φτιάξε ένα νέο κέντρο επισκεπτών  
objective_conviction_visitationcount		Διευκόλυνε 20 επισκέψεις συγγενών κρατουμένων
objective_conviction_telephones	 			Πρόσθεσε τηλέφωνα σε όλα τα Προαύλια
objective_conviction_mailroom				Φτιάξε ένα δωμάτιο Αλληλογραφίας
objective_conviction_mailroomwork			Ανάθεσε σε κρατουμένους να δουλέψουν στο δωμάτιο Αλληλογραφίας  

objective_conviction_mailroomwork_description           Για να αναθέσεις σε κρατουμένους να δουλέψουν στο δωμάτιο Αλληλογραφίας, πήγαινε στην «Εφοδιαστική» και έπειτα στην «Εργασία κρατουμένων».  

objective_conviction_education				Ξεκίνα την εκπαίδευση των κρατουμένων σου  
objective_conviction_unlockeducation		Εξουσιοδότησε την «Εκπαίδευση» μέσω της Γραφειοκρατίας
objective_conviction_education_classroom	Φτιάξε μια αίθουσα διδασκαλίας  
objective_conviction_education_class 		Διοργάνωσε ένα μάθημα Βασικής εκπαίδευσης  
objective_conviction_education_learn		(ΠΡΟΑΙΡΕΤΙΚΟ) Βοήθησε 5 κρατουμένους να περάσουν το μάθημα Βασικής εκπαίδευσης
objective_conviction_education_library		Φτιάξε μια βιβλιοθήκη
objective_conviction_education_librarywork	Ανάθεσε σε κρατούμενους να δουλέψουν στη βιβλιοθήκη
objective_conviction_education_chapel		Φτιάξε ένα παρεκκλήσι
objective_conviction_education_spiritual	Διοργάνωσε ένα μάθημα Πνευματικής καθοδήγησης  

objective_conviction_expandcapacity100			Αύξησε τη χωρητικότητα της φυλακής
objective_conviction_expandcapacity_cells100	Αύξησε τη χωρητικότητα σε 80 κελιά
objective_conviction_expandcapacity_cells200	(ΠΡΟΑΙΡΕΤΙΚΟ) Αύξησε τη χωρητικότητα σε 120 κελιά

objective_Conviction_PlayerExitsMap         Όταν τελειώσεις, κάνε κλικ στην φωτογραφία πολαρόιντ στο κελί του Μόργκαν.

 
# =============================================================================
# Epilogue
# =============================================================================

campaignchapter_epilogue                Απαρχές
campaigncutscene_epilogueintro          Επανεξέταση
campaigncutscene_epilogueoutro          Επίλογος  

campaignchapter_epilogue_description    Έχει προγραμματιστεί η κατεδάφιση και η αντικατάσταση μιας ιστορικής φυλακής. Χρησιμοποίησε όλα όσα έμαθες για να δημιουργήσεις το απόλυτο σωφρονιστικό ίδρυμα.

adviser_name_reporter 					Δημοσιογράφος

epilogue_newsintro1 					Σήμερα στις ειδήσεις του CNDC, ένα ειδικό ρεπορτάζ για την κατάσταση των φυλακών μας.
epilogue_newsintro2 					Έχουν περάσει δύο χρόνια από τη διαβόητη «Πολιορκία του Αλκέμικο», όπου χάθηκαν πολυάριθμες ζωές, ανάμεσα σε αυτές και εκείνη του Διευθύνοντα Συμβούλου Τσαρλς Ουάλας.  
epilogue_newsintro4 					Σήμερα μας μιλούν κορυφαίοι ειδικοί και εμείς τους ρωτάμε αν έχει αλλάξει κάτι από την ημέρα αυτών των τραγικών γεγονότων.  
epilogue_newsintro5 					Πρώτα θα συνδεθούμε ζωντανά με μια από τις μακροβιότερες φυλακές της πολιτείας, της οποίας η κατεδάφιση προγραμματίστηκε πρόσφατα.
epilogue_newsintro6						Σε ζωντανή σύνδεση, μόνο στο δελτίο ειδήσεων του CNDC.

epilogue_reporter1						Σ' ευχαριστώ, Σάρα. Αυτή η φυλακή έχει στεγάσει μερικούς από τους πιο διαβόητους εγκληματίες της χώρας μας.    
epilogue_reporter2 						Όμως σήμερα, τα τείχη της γκρεμίζονται, έτοιμα να αντικατασταθούν από εκείνα ενός νέου σωφρονιστικού συγκροτήματος.
epilogue_reporter3 						Αν κοιτάξετε πίσω μου, θα δείτε ότι βρίσκονται ήδη στον χώρο ομάδες οικοδόμων και ότι οι εργασίες κατεδάφισης έχουν ξεκινήσει.
epilogue_reporter4 						Μαζί μου έχω τον δήμαρχο της πόλης, Κάλβιν Χέλερ. Κύριε Χέλερ, σας ευχαριστούμε για τον χρόνο που μας αφιερώνετε σήμερα.
epilogue_reporter5 						Ευχαρίστησή μου.

epilogue_reporter6 						Στο παρελθόν ήσασταν δεινός υποστηρικτής μιας αυστηρότερης και πιο πειθαρχημένης προσέγγισης στη διαχείριση των φυλακών.
epilogue_reporter6b 					Γιατί, λοιπόν, κατεδαφίζετε ένα ίδρυμα που καθόριζε τόσο καιρό αυτή τη προσέγγιση;
epilogue_reporter7 						Η φυλακή ήταν απαρχαιωμένη, το ίδιο και η λειτουργία της.  
epilogue_reporter8 						Αποφασίσαμε, λοιπόν, να την αντικαταστήσουμε με ένα ολοκαίνουργιο ίδρυμα. Ένα ίδρυμα που θα λειτουργεί με σύγχρονες πολιτικές διαχείρισης.
epilogue_reporter9						Πριν από λίγα χρόνια, αυτή η φυλακή είχε εμφανιστεί στην επικαιρότητα ως ένα από τα τελευταία εναπομένοντα ιδρύματα της πολιτείας που διαθέτουν δυνατότητα εκτέλεσης θανατικής ποινής.
epilogue_reporter10 					Εδώ και πολύ καιρό ασκούνται πιέσεις για την κατάργηση του νόμου περί θανατικής ποινής. Σκοπεύετε να ικανοποιήσετε αυτά τα αιτήματα ή θα ξαναχτίσετε τις εγκαταστάσεις εκτελέσεων;
epilogue_reporter12 					Αυτό το ζήτημα το εξετάζουμε ακόμα. Αλλά να είστε βέβαιοι ότι είναι μια απόφαση που δεν θα λάβουμε ελαφρά τη καρδία.

epilogue_reporterend1 					Σας ευχαριστούμε, δήμαρχε Χέλερ. Ο λόγος στο στούντιο.
epilogue_newstransition1 				Αυτά είναι τα νέα του CNDC, σε ζωντανή ανταπόκριση για την κατάσταση του σωφρονιστικού μας συστήματος.
epilogue_newstransition2 				Μετά το διάλειμμα, θα έχουμε μαζί μας τον Δρα Ουόλτερ Χερστ, έναν ειδικό στη σωφρονιστική ψυχολογία και την επανένταξη.

epilogue_parole1 						Ακόμα τίποτα; Πόσος καιρός πάει;
epilogue_parole2						Έχω χάσει το μέτρημα. Ούτε τηλέφωνα, ούτε γράμματα.
epilogue_parole3 						Λυπάμαι, Μόργκαν. Ξέρω ότι πρέπει να πονάει. Αλλά έχεις μια ευκαιρία τώρα. Μην τα θαλασσώσεις.
epilogue_parole4 						Χένρι... Καλή τύχη.
epilogue_parole5 						Μην προσπαθήσεις να τους πεις αυτό που νομίζεις ότι θέλουν ν' ακούσουν.
epilogue_parole6 						Πρέπει να φύγω. Θα βγω σε ζωντανή μετάδοση σε ένα λεπτό.
epilogue_parole7                        Δήμαρχε Χέλερ, ποια είναι η άποψή σας;
epilogue_parole10 						Αυτό και αν ήταν γρήγορο!
epilogue_parole11 						Λοιπόν;
epilogue_parole12                       ...

epilogue_outro_1 						Καλώς ήρθατε ξανά σε αυτό το ειδικό δελτίο ειδήσεων του CNDC, σε ζωντανή σύνδεση με τον δήμαρχο της πόλης, Κάλβιν Χέλερ.
epilogue_outro_2 						Μαζί μας έχουμε και τον Δρα Ουόλτερ Χερτς, ο οποίος κατηγορείται ότι ξόδεψε τεράστια ποσά στη σωφρονιστική αναμόρφωση.
epilogue_outro_2b 						Δρ. Χερστ, πιστεύετε ότι πετύχατε στο έργο σας;
epilogue_outro_3						Αν πέτυχα στο έργο μου; Όχι. Σε γενικά πλαίσια, όχι.  
